part_num,part_num_new
ACT.BODY/HRB35,1
ACT.BODY/HRB60,2
"ATC SUB CHANGE PRO,M06",3
BONNET 25A SUS 316,4
"BONNET 32A,40A DP-1",5
"BONNET 32A,40A-2",6
"BONNET DP-32A,40A SUS",7
BONNET.25A-2,8
CAM SHAFT-T20/ N40 SUB,9
CAM SHAFT-T20/ N90 SUB,10
CAM SHAFT-T26/ N07 SUB,11
CAM SHAFT-T26/ N50 SUB,12
CAM SHAFT/ T-26,13
CENTER,14
CHUCK BORING,15
COVER,16
CYLINDER BLOCK/ T-20 OP#20,17
CYLINDER BLOCK/ T-26 OP#20,18
CYLINDER BLOCK/T-20/OP#20 SUB,19
HRB35/OP#10,20
HRB35/OP#20,21
HRB60/OP#10,22
HRB60/OP#20,23
HRB80/OP#10,24
LANTERNING 40A-50A,25
LANTERNING RING 32A-2,26
M06 ATC CHANGE PROGRAM,27
M60 APC UNLOAD/LOAD PROGRAM,28
M61 APC1 LOAD PROGRAM,29
M62 ACP2 LOAD PROGRAM,30
"PLUG 25A-5/8""-2",31
"PLUG 40A 1-1/4""-1",32
"PLUG 40A 1-1/4""-2",33
PLUG 40A 5/8 INCH TRIM-2,34
PLUG 40A 5/8 TRIM 1,35
PLUG25A.5/8-1,36
"ROD FOR 5K,10K-50A",37
"ROD FOR 5K,10K-65A/80A-3",38
"SHAFT 55""REV TYPR-2",39
SHAFT.55-85-3,40
SHAFT.55/85 DIR-3,41
SHAFT.55R-3,42
SHAFT.55R-85R-1,43
"STAND 55"" DIR.TYPE-1",44
"STAND 55""DIR.TYPE-2",45
T01-COVER SUB,46
T03-COVER SUB,47
T04-COVER SUB,48
VALVE PLUG 150A-3,49
VALVE PLUG 150A-4,50
VALVE PLUG 50A-1,51
VALVE PLUG 50A-4,52
unknown,53
